,Village,Group ID,Member ID,Branch Name,Circle Name,Loan Amount,Product Type,Name of Model,Product Detail,Institution Name,Manufacturer Name,Loan Account Number,Loan Application Date,Product Installed Date,Document Signature Date,loan_id,household_id,product_id,branch_id,partner_id
2243,KAPPALAMADAGU,577339,6,Mulubagilu,KASABA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,166833,2018-11-19T000000+0530,2018-11-21T000000+0530,2018-11-19T000000+0530,144-166833,577339-6,38.0,133.0,1
2244,Aland TMC,960276,9,Aland,Aland,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,67662,2019-02-22T00:00:00+05:30,2019-03-01T00:00:00+05:30,2019-02-22T00:00:00+05:30,163-67662,960276-9,38.0,151.0,1
2245,Nelamangala,486578,13,Nelamangala,Nelamangala,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,84093,2018-02-06T00:00:00+05:30,2018-02-07T00:00:00+05:30,2018-02-06T00:00:00+05:30,124-84093,486578-13,38.0,116.0,1
2246,ASHTOOR,922892,2,Bidar,MALEGAON,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,182003,2018-11-12T000000+0530,2018-11-14T000000+0530,2018-11-12T000000+0530,155-182003,922892-2,38.0,143.0,1
2247,Muthnal,530959,10,Belgaum,Sambra,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,276733,2018-12-29T00:00:00+05:30,2019-01-01T00:00:00+05:30,2018-12-29T00:00:00+05:30,51-276733,530959-10,38.0,49.0,1
2248,Hirebidanal,292249,1,Yelburga,Mangaluru,26000,Solar Light Selco,SB8HLS,8 CFL,SKDRDP,SELCO,76920,2018-02-09T00:00:00+05:30,2018-02-12T00:00:00+05:30,2018-02-09T00:00:00+05:30,84-76920,292249-1,47.0,81.0,1
2249,AREKERE,402551,2,Shrirangapatna,AREKERE,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,252644,2019-04-16T00:00:00+05:30,2019-04-24T00:00:00+05:30,2019-04-16T00:00:00+05:30,107-252644,402551-2,43.0,99.0,1
2250,Mamadapur,78209,11,Gokak,Kolvi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,182300,2018-07-10T00:00:00+05:30,2018-07-10T00:00:00+05:30,2018-07-10T00:00:00+05:30,47-182300,78209-11,38.0,45.0,1
2251,Madri,981199,5,Jevargi,Andola,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,66574,2019-01-21T00:00:00+05:30,2019-01-21T00:00:00+05:30,2019-01-21T00:00:00+05:30,167-66574,981199-5,38.0,155.0,1
2252,T. Gollahalli,570947,10,Bangarpete,Bethamangala,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,113367,2018-01-11T00:00:00+05:30,2018-01-19T00:00:00+05:30,2018-01-11T00:00:00+05:30,143-113367,570947-10,37.0,132.0,1
2253,kakishamohala,567458,7,Kolar,Purasabe,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,214601,2018-09-24T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-24T00:00:00+05:30,142-214601,567458-7,38.0,131.0,1
2254,T. Gollahalli,571225,4,Bangarpete,Bethamangala,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,179014,2019-01-08T00:00:00+05:30,2019-01-11T00:00:00+05:30,2019-01-08T00:00:00+05:30,143-179014,571225-4,38.0,132.0,1
2255,Benchinmardi,1020230,1,Gokak,Madawal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,181689,2018-06-26T00:00:00+05:30,2018-07-02T00:00:00+05:30,2018-06-26T00:00:00+05:30,47-181689,1020230-1,38.0,45.0,1
2256,HONNAVARA,410340,9,Nagamangala,BINDIGANAVILE,14000,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,160009,2019-03-17T00:00:00+05:30,2019-03-20T00:00:00+05:30,2019-03-17T00:00:00+05:30,109-160009,410340-9,36.0,101.0,1
2257,BAGALURU,482457,1,Devanahalli,BAGALUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,200078,2019-01-21T00:00:00+05:30,2019-01-24T00:00:00+05:30,2019-01-21T00:00:00+05:30,123-200078,482457-1,38.0,115.0,1
2258,KARAGUNDA,366420,10,Arasikere,HARANAHALLI,10000,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,100908,2017-10-14T00:00:00+05:30,2017-10-20T00:00:00+05:30,2017-10-14T00:00:00+05:30,100-100908,366420-10,43.0,92.0,1
2259,Bayyapur,467363,4,Lingsugar,Eachanal,9500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,59628,2017-10-03T00:00:00+05:30,2017-10-17T00:00:00+05:30,2017-10-03T00:00:00+05:30,120-59628,467363-4,43.0,112.0,1
2260,Majara Hosahalli,476203,1,Doddaballapur,Doddaballapura,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,137900,2018-05-02T00:00:00+05:30,2018-05-07T00:00:00+05:30,2018-05-02T00:00:00+05:30,122-137900,476203-1,38.0,114.0,1
2261,Basapur,95393,2,Hukkeri,Paschapur,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,160382,2018-07-02T00:00:00+05:30,2018-07-03T00:00:00+05:30,2018-07-02T00:00:00+05:30,46-160382,95393-2,35.0,44.0,1
2262,JAVAGAL,365219,1,Arasikere,HARANAHALLI,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,184575,2018-11-14T000000+0530,2018-11-16T000000+0530,2018-11-14T000000+0530,100-184575,365219-1,43.0,92.0,1
2263,BHOGADI,216437,15,Mysore,BHOGADI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,241301,2019-03-21T00:00:00+05:30,2019-03-22T00:00:00+05:30,2019-03-21T00:00:00+05:30,70-241301,216437-15,38.0,67.0,1
2264,Benkanhalli,990538,1,Sedam,Kodla,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,118010,2019-01-21T00:00:00+05:30,2019-01-22T00:00:00+05:30,2019-01-21T00:00:00+05:30,169-118010,990538-1,38.0,157.0,1
2265,Gutturu,266640,9,Harihara,KONDAJJI,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,128834,2017-12-21T00:00:00+05:30,2017-12-28T00:00:00+05:30,2017-12-21T00:00:00+05:30,92-128834,266640-9,35.0,89.0,1
2266,KARAHALLI,480456,4,Devanahalli,VISHWANATHAPURA,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,154771,2018-07-20T00:00:00+05:30,2018-07-23T00:00:00+05:30,2018-07-20T00:00:00+05:30,123-154771,480456-4,43.0,115.0,1
2267,MYSORE CITY CORPORATION,1052586,9,Mysore,MYSORE CITY,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,198329,2018-09-18T00:00:00+05:30,2018-09-20T00:00:00+05:30,2018-09-18T00:00:00+05:30,70-198329,1052586-9,38.0,67.0,1
2268,Maradimath,76467,2,Gokak,Mallapura,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,179931,2018-06-20T00:00:00+05:30,2018-06-22T00:00:00+05:30,2018-06-20T00:00:00+05:30,47-179931,76467-2,38.0,45.0,1
2269,Halkurike,29151,1,Tiptur,SARTHAVALLI,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,124098,2018-11-02T000000+0530,2018-11-06T000000+0530,2018-11-02T000000+0530,57-124098,29151-1,35.0,55.0,1
2270,Kattemalalavadi,213072,3,Hunsur,KARNAKUPPE,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,115768,2018-02-17T00:00:00+05:30,2018-02-20T00:00:00+05:30,2018-02-17T00:00:00+05:30,72-115768,213072-3,37.0,69.0,1
2271,Kakinatha,565371,7,Kolar,Sugutur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,164349,2017-12-27T00:00:00+05:30,2017-12-28T00:00:00+05:30,2017-12-27T00:00:00+05:30,142-164349,565371-7,38.0,131.0,1
2272,Kudachi,92158,1,Raybag,Kudachi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,135072,2018-07-02T00:00:00+05:30,2018-07-02T00:00:00+05:30,2018-07-02T00:00:00+05:30,44-135072,92158-1,38.0,42.0,1
2273,Kesarolli,734762,4,Dandeli,Sambrani,10000,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,198891,2018-06-01T00:00:00+05:30,2018-06-07T00:00:00+05:30,2018-06-01T00:00:00+05:30,13-198891,734762-4,43.0,13.0,1
2274,Amaragol,114741,1,Navalgunda,Navalagund,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,111300,2018-09-20T00:00:00+05:30,2018-09-20T00:00:00+05:30,2018-09-20T00:00:00+05:30,32-111300,114741-1,38.0,32.0,1
2275,KODLAPURA,233716,6,Nanjanagudu,KALALE,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,149764,2018-02-08T00:00:00+05:30,2018-02-13T00:00:00+05:30,2018-02-08T00:00:00+05:30,67-149764,233716-6,37.0,64.0,1
2276,Ranebennur D,131786,10,Ranebennur,Ranebennur 02,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126562,2018-11-20T000000+0530,2018-11-22T000000+0530,2018-11-20T000000+0530,34-126562,131786-10,38.0,34.0,1
2277,GANDSI,365702,1,Arasikere,GANDASI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,184438,2018-11-13T000000+0530,2018-11-20T000000+0530,2018-11-13T000000+0530,100-184438,365702-1,38.0,92.0,1
2278,belluru,22845,2,Turuvekere,Chunchanagiri,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,153293,2019-03-15T00:00:00+05:30,2019-03-19T00:00:00+05:30,2019-03-15T00:00:00+05:30,58-153293,22845-2,38.0,56.0,1
2279,Yelimunnoli,95416,5,Hukkeri,Hukkeri,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,166478,2018-08-30T00:00:00+05:30,2018-09-03T00:00:00+05:30,2018-08-30T00:00:00+05:30,46-166478,95416-5,38.0,44.0,1
2280,Kotanaykana Halli,29021,2,Tiptur,NONAVINAKERE,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,133637,2019-03-07T00:00:00+05:30,2019-03-07T00:00:00+05:30,2019-03-07T00:00:00+05:30,57-133637,29021-2,38.0,55.0,1
2281,CHINNASANDRA,562238,6,Chintamani,AMBHAJIDURGA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,140162,2018-10-27T000000+0530,2018-11-02T000000+0530,2018-10-27T000000+0530,141-140162,562238-6,38.0,130.0,1
2282,Bellatti B,158516,2,Shirahatti,Bellatti,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,111385,2018-11-20T000000+0530,2018-11-21T000000+0530,2018-11-20T000000+0530,37-111385,158516-2,38.0,37.0,1
2283,Chimmaidlai,975088,11,Chincholi,CHANDAPUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,51750,2019-01-16T00:00:00+05:30,2019-01-23T00:00:00+05:30,2019-01-16T00:00:00+05:30,166-51750,975088-11,38.0,154.0,1
2284,Shahpur TMC,1000345,8,Shahpur,Shahapur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,88939,2019-03-01T00:00:00+05:30,2019-03-05T00:00:00+05:30,2019-03-01T00:00:00+05:30,171-88939,1000345-8,38.0,159.0,1
2285,ANEEDODDI,600403,7,Kanakapura,HAROHALLI,14000,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,88613,2017-10-16T00:00:00+05:30,2017-10-25T00:00:00+05:30,2017-10-16T00:00:00+05:30,149-88613,600403-7,36.0,138.0,1
2286,Bijapur CMC,936402,8,Bijapur,JALANAGAR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,115218,2018-10-31T000000+0530,2018-11-05T000000+0530,2018-10-31T000000+0530,158-115218,936402-8,38.0,146.0,1
2287,Basavanahalli,487549,1,Nelamangala,Nelamangala,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,124524,2018-12-08T00:00:00+05:30,2019-01-01T00:00:00+05:30,2018-12-08T00:00:00+05:30,124-124524,487549-1,38.0,116.0,1
2288,Lakkundi,62882,12,Bailahongal,Sampgav,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,129653,2018-07-21T00:00:00+05:30,2018-07-23T00:00:00+05:30,2018-07-21T00:00:00+05:30,50-129653,62882-12,38.0,48.0,1
2289,Hesagal A,860557,4,Moodigere,Mudigere Kasaba,12800,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,243738,2017-12-20T00:00:00+05:30,2017-12-25T00:00:00+05:30,2017-12-20T00:00:00+05:30,6-243738,860557-4,36.0,6.0,1
2290,BALADAGERE,372488,11,Channarayapatna,UDAYAPURA,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,179769,2017-12-25T00:00:00+05:30,2017-12-29T00:00:00+05:30,2017-12-25T00:00:00+05:30,101-179769,372488-11,35.0,93.0,1
2291,LALANAKERE,410890,1,Nagamangala,BINDIGANAVILE,11000,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,101103,2018-02-02T00:00:00+05:30,2018-02-07T00:00:00+05:30,2018-02-02T00:00:00+05:30,109-101103,410890-1,43.0,101.0,1
2292,Jakkanahalli,386576,4,Pandavapura,MELUKOTE,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,172982,2018-12-27T00:00:00+05:30,2019-01-04T00:00:00+05:30,2018-12-27T00:00:00+05:30,104-172982,386576-4,38.0,96.0,1
2293,Lalandevanahalli,203140,8,Krishnarajnagara,HAMPAPURA,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,126101,2018-06-19T00:00:00+05:30,2018-06-22T00:00:00+05:30,2018-06-19T00:00:00+05:30,71-126101,203140-8,43.0,68.0,1
2294,Shettigondanahalli,21172,1,Turuvekere,Soravanahalli,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,140096,2018-10-31T000000+0530,2018-11-06T000000+0530,2018-10-31T000000+0530,58-140096,21172-1,35.0,56.0,1
2295,CHIKKAMUDHIGERE,605574,2,Magadi,THIPPASANDRA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,127809,2019-01-15T00:00:00+05:30,2019-01-22T00:00:00+05:30,2019-01-15T00:00:00+05:30,150-127809,605574-2,38.0,139.0,1
2296,Bambarga,530949,3,Belgaum,Mucchandi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,212636,2018-09-08T00:00:00+05:30,2018-09-10T00:00:00+05:30,2018-09-08T00:00:00+05:30,51-212636,530949-3,38.0,49.0,1
2297,Kedatta,565173,2,Kolar,Vakkaleri,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,168082,2018-01-09T00:00:00+05:30,2018-01-09T00:00:00+05:30,2018-01-09T00:00:00+05:30,142-168082,565173-2,38.0,131.0,1
2298,Dannur,521390,1,Hungunda,Belgal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,111709,2019-03-18T00:00:00+05:30,2019-03-20T00:00:00+05:30,2019-03-18T00:00:00+05:30,131-111709,521390-1,38.0,122.0,1
2299,I GOLLAHALLI,600228,8,Kanakapura,UYYAMBALLI,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,87980,2017-10-09T00:00:00+05:30,2017-10-17T00:00:00+05:30,2017-10-09T00:00:00+05:30,149-87980,600228-8,37.0,138.0,1
2300,Devikera,997422,5,Shorapur,surapur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,101388,2019-01-11T00:00:00+05:30,2019-01-14T00:00:00+05:30,2019-01-11T00:00:00+05:30,170-101388,997422-5,38.0,158.0,1
2301,Kethupura,221788,10,Thirumakodlu-Narasipura,THALAKAD,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,93780,2017-12-06T00:00:00+05:30,2017-12-11T00:00:00+05:30,2017-12-06T00:00:00+05:30,69-93780,221788-10,37.0,66.0,1
2302,Jali,703872,4,Honnavar,Heble,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,466139,2019-03-16T00:00:00+05:30,2019-03-19T00:00:00+05:30,2019-03-16T00:00:00+05:30,17-466139,703872-4,38.0,17.0,1
2303,Hesagal A,861016,11,Moodigere,Mudigere Kasaba,12800,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,246598,2018-01-18T00:00:00+05:30,2018-01-25T00:00:00+05:30,2018-01-18T00:00:00+05:30,6-246598,861016-11,36.0,6.0,1
2304,Adagur,13465,2,Gubbi,Gubbi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,145396,2018-11-13T000000+0530,2018-11-19T000000+0530,2018-11-13T000000+0530,60-145396,13465-2,38.0,58.0,1
2305,Gattakamdenahalli,571387,15,Bangarpete,KGF,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,112512,2018-01-01T00:00:00+05:30,2018-01-10T00:00:00+05:30,2018-01-01T00:00:00+05:30,143-112512,571387-15,38.0,132.0,1
2306,U.Khanapur,97692,4,Hukkeri,Hebbal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,173400,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,46-173400,97692-4,38.0,44.0,1
2307,DEVIGERE,332892,6,Hosadurga,JANKAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,143860,2018-09-25T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-25T00:00:00+05:30,78-143860,332892-6,38.0,75.0,1
2308,Bhuvanahalli,900463,12,Piriyapatna,Bettadapura,14000,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,321944,2018-11-09T000000+0530,2018-11-12T000000+0530,2018-11-09T000000+0530,152-321944,900463-12,36.0,140.0,1
2309,Devalamakki Shirwada,715863,9,Karwar,Shiravada,20000,Solar Light Selco,SB4HLS,4 CFL,SKDRDP,SELCO,365021,2018-09-24T00:00:00+05:30,2018-09-28T00:00:00+05:30,2018-09-24T00:00:00+05:30,9-365021,715863-9,44.0,9.0,1
2310,Bardol,951010,3,Indi,LONI B K,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,94083,2018-10-31T000000+0530,2018-11-02T000000+0530,2018-10-31T000000+0530,161-94083,951010-3,38.0,149.0,1
2311,Jigani CT,1010083,6,Anekal,Jigani,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,108135,2018-11-16T000000+0530,2018-11-19T000000+0530,2018-11-16T000000+0530,174-108135,1010083-6,38.0,2513.0,1
2312,Hodali,585881,9,Shrinivasapura,Ronuru,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,180226,2018-11-20T000000+0530,2018-11-21T000000+0530,2018-11-20T000000+0530,146-180226,585881-9,38.0,135.0,1
2313,Hebbal B,995612,10,Shorapur,Kekkera,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,100680,2019-01-04T00:00:00+05:30,2019-01-09T00:00:00+05:30,2019-01-04T00:00:00+05:30,170-100680,995612-10,38.0,158.0,1
2314,J Venkatapura,556674,6,Shidlaghatta,Jangamakote,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,106907,2018-10-27T000000+0530,2018-11-02T000000+0530,2018-10-27T000000+0530,140-106907,556674-6,38.0,129.0,1
2315,Kadabagatti,914517,1,Dharwad,Mugad,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,210342,2018-09-17T00:00:00+05:30,2018-09-18T00:00:00+05:30,2018-09-17T00:00:00+05:30,30-210342,914517-1,38.0,30.0,1
2316,Kikre,851135,5,Koppa,Sringeri,12500,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,355851,2019-03-09T00:00:00+05:30,2019-03-11T00:00:00+05:30,2019-03-09T00:00:00+05:30,22-355851,851135-5,36.0,22.0,1
2317,Kote Bibi Ward 1238,406056,12,Malavalli,MALAVALLI,12500,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,178820,2018-11-12T000000+0530,2018-11-16T000000+0530,2018-11-12T000000+0530,108-178820,406056-12,36.0,100.0,1
2318,Thalakadu Ward No 3,220075,2,Thirumakodlu-Narasipura,THALAKAD,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126348,2018-08-30T00:00:00+05:30,2018-09-03T00:00:00+05:30,2018-08-30T00:00:00+05:30,69-126348,220075-2,38.0,66.0,1
2319,KONDENALU,368025,6,Arasikere,GANDASI,11500,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,149990,2018-06-28T00:00:00+05:30,2018-07-03T00:00:00+05:30,2018-06-28T00:00:00+05:30,100-149990,368025-6,36.0,92.0,1
2320,BANAVARA,366078,4,Arasikere,BANAVARA,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,180640,2018-10-29T000000+0530,2018-11-05T000000+0530,2018-10-29T000000+0530,100-180640,366078-4,35.0,92.0,1
2321,Ramanaguli w,694485,10,Kumta,Hireguthi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,360415,2019-01-08T00:00:00+05:30,2019-01-09T00:00:00+05:30,2019-01-08T00:00:00+05:30,16-360415,694485-10,38.0,16.0,1
2322,NEKKUNDHI PETE,560960,4,Chintamani,CHINTAMANI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,122801,2018-09-18T00:00:00+05:30,2018-09-19T00:00:00+05:30,2018-09-18T00:00:00+05:30,141-122801,560960-4,38.0,130.0,1
2323,DODDAGATTA,333311,5,Hosadurga,JANKAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,143139,2018-09-12T00:00:00+05:30,2018-09-13T00:00:00+05:30,2018-09-12T00:00:00+05:30,78-143139,333311-5,38.0,75.0,1
2324,T HOSAHALLI,600249,5,Kanakapura,MARALAVADI,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,88409,2017-10-14T00:00:00+05:30,2017-10-18T00:00:00+05:30,2017-10-14T00:00:00+05:30,149-88409,600249-5,37.0,138.0,1
2325,Uralichikkanahalli,477932,1,Doddaballapur,Hesarughatta,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126304,2018-01-31T00:00:00+05:30,2018-02-07T00:00:00+05:30,2018-01-31T00:00:00+05:30,122-126304,477932-1,38.0,114.0,1
2326,Rpete,572359,3,Bangarpete,R Pete,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,169354,2018-11-01T000000+0530,2018-11-08T000000+0530,2018-11-01T000000+0530,143-169354,572359-3,38.0,132.0,1
2327,Bharamasagar,329591,8,Chitradurga,Baramasagara,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,316673,2019-04-03T00:00:00+05:30,2019-04-08T00:00:00+05:30,2019-04-03T00:00:00+05:30,81-316673,329591-8,38.0,78.0,1
2328,Hattargi,98529,5,Hukkeri,Hebbal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,172754,2018-09-19T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-19T00:00:00+05:30,46-172754,98529-5,38.0,44.0,1
2329,Tavag,75130,10,Gokak,Madawal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,182280,2018-07-10T00:00:00+05:30,2018-07-10T00:00:00+05:30,2018-07-10T00:00:00+05:30,47-182280,75130-10,38.0,45.0,1
2330,Dinka,385178,9,Pandavapura,ARALAKUPPE,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,178426,2019-04-03T00:00:00+05:30,2019-04-09T00:00:00+05:30,2019-04-03T00:00:00+05:30,104-178426,385178-9,43.0,96.0,1
2331,Madnur,624906,2,Puttur,Ariyadka,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,473861,2019-01-02T00:00:00+05:30,2019-01-11T00:00:00+05:30,2019-01-02T00:00:00+05:30,5-473861,624906-2,38.0,5.0,1
2332,BASAPUR HULAGI,302412,2,Koppal,HULAGI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,216364,2019-03-21T00:00:00+05:30,2019-03-22T00:00:00+05:30,2019-03-21T00:00:00+05:30,86-216364,302412-2,38.0,83.0,1
2333,Annigeri  A,113555,10,Navalgunda,Annigeri,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,67431,2017-10-17T00:00:00+05:30,2017-10-20T00:00:00+05:30,2017-10-17T00:00:00+05:30,32-67431,113555-10,43.0,32.0,1
2334,Yamagumba,210048,3,Hunsur,KARNAKUPPE,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,139469,2018-09-06T00:00:00+05:30,2018-09-10T00:00:00+05:30,2018-09-06T00:00:00+05:30,72-139469,210048-3,38.0,69.0,1
2335,JAVARANA HALLI,411979,1,Nagamangala,BELLUR,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,118602,2018-07-18T00:00:00+05:30,2018-07-23T00:00:00+05:30,2018-07-18T00:00:00+05:30,109-118602,411979-1,43.0,101.0,1
2336,Challakere,312580,2,Challakere,Challakere,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,195223,2018-09-05T00:00:00+05:30,2018-09-10T00:00:00+05:30,2018-09-05T00:00:00+05:30,77-195223,312580-2,38.0,74.0,1
2337,Ingali,88813,4,Chikodi,ANKALI B,14000,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,181859,2018-09-08T00:00:00+05:30,2018-09-10T00:00:00+05:30,2018-09-08T00:00:00+05:30,45-181859,88813-4,36.0,43.0,1
2338,ARANI,411147,1,Nagamangala,BELLUR,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,98264,2017-12-27T00:00:00+05:30,2018-01-01T00:00:00+05:30,2017-12-27T00:00:00+05:30,109-98264,411147-1,37.0,101.0,1
